,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
11,0,Wimbledon,1,DF,0.03,0,0.08,"3,269",0.00,28,0.03,0.58,1,0.00,88,21,37,3,ie IRL,0,0.08,0,0,37,Kenny Cunningham
12,23,Newcastle United,43,FW,1.19,1,0.66,"3,258",0.50,28,0.08,2.13,2,0.64,88,77,36,6,eng ENG,5,0.80,1,5,37,Alan Shearer
13,9,Newcastle United,26,MF,0.72,0,0.33,"3,240",0.25,29,0.17,1.50,6,0.25,90,54,36,3,wal WAL,0,0.33,0,0,36,Gary Speed
14,7,West Ham United,22,MF,0.61,0,0.42,"3,240",0.19,26,0.17,1.06,5,0.19,90,38,36,8,eng ENG,0,0.42,1,0,36,Trevor Sinclair
15,0,Liverpool,0,GK,0.00,0,0.00,"3,240",0.00,24,0.03,0.00,0,0.00,90,0,36,0,nl NED,0,0.00,1,0,36,Sander Westerveld
16,1,Tottenham Hotspur,4,DF,0.11,1,0.03,"3,224",0.03,26,0.22,1.03,8,0.03,87,37,36,0,eng ENG,0,0.03,0,0,37,Chris Perry
17,0,Sheffield Wednesday,1,DF,0.03,0,0.00,"3,204",0.00,33,0.00,0.45,0,0.00,87,16,37,0,eng ENG,0,0.00,0,0,37,Des Walker
18,30,Sunderland,65,FW,1.83,0,0.76,"3,198",0.68,26,0.14,1.35,5,0.84,89,48,36,3,eng ENG,8,0.93,0,6,36,Kevin Phillips
19,10,Leeds United,42,"MF,FW",1.18,0,0.39,"3,197",0.28,20,0.17,1.77,6,0.28,89,63,36,4,au AUS,1,0.39,0,0,36,Harry Kewell
20,1,Bradford City,3,DF,0.08,0,0.03,"3,195",0.03,20,0.06,0.87,2,0.03,89,31,36,0,ie IRL,0,0.03,0,0,36,Andy O'Brien
21,1,Watford,4,DF,0.11,0,0.08,"3,179",0.03,24,0.34,1.98,12,0.03,88,70,36,2,wal WAL,0,0.08,0,0,36,Rob Page
