,games_starts_gk,losses,minutes_per_game_gk,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs_gk,goals_against,shots_on_target_against,games_gk,clean_sheets,minutes_gk,draws,squad,pens_made,goals_assists_per90,fouls,goals,goals_assists_pens_per90,goals_per90,minutes_per_game_pl,games_starts_pl,games_subs_pl,cards_per90,shots_on_target_per90,goals_pens_per90,games_pl,cards_yellow,cards_red,assists,minutes_pl,fouls_per90,shots_on_target,pens_att,season
456,,,,,eng,Matt Le Tissier,"FW,MF",31.0,,,,,,,,,,,Southampton,0,0.39,4,1,0.39,0.39,29,2,6,0.39,1.16,0.39,8,1,0,0,233,1.55,3,0,2000
457,,,,,eng,Paul Thirlwell,MF,21.0,,,,,,,,,,,Sunderland,0,0.0,3,0,0.0,0.0,45,3,2,0.4,0.79,0.0,5,1,0,0,227,1.19,2,0,2000
458,,,,,hn,Iván Guerrero,DF,22.0,,,,,,,,,,,Coventry City,0,0.0,1,0,0.0,0.0,76,3,0,0.0,0.0,0.0,3,0,0,0,227,0.4,0,0,2000
459,,,,,sco,Alec Cleland,DF,29.0,,,,,,,,,,,Everton,0,0.0,3,0,0.0,0.0,44,2,3,0.0,0.0,0.0,5,0,0,0,221,1.22,0,0,2000
460,,,,,eng,Shaun Newton,MF,24.0,,,,,,,,,,,Charlton Athletic,0,0.0,0,0,0.0,0.0,22,1,9,0.0,0.0,0.0,10,0,0,0,220,0.0,0,0,2000
461,,,,,nir,Owen Morrison,MF,18.0,,,,,,,,,,,Manchester City,0,0.0,4,0,0.0,0.0,72,3,0,0.42,0.42,0.0,3,1,0,0,216,1.67,1,0,2000
462,,,,,sco,Mark Burchill,FW,19.0,,,,,,,,,,,Ipswich Town,0,0.84,3,1,0.84,0.42,31,2,5,0.0,1.26,0.42,7,0,0,1,215,1.26,3,0,2000
463,,,,,se,Martin Pringle,FW,29.0,,,,,,,,,,,Charlton Athletic,0,0.43,4,1,0.43,0.43,26,1,7,0.0,0.85,0.43,8,0,0,0,211,1.71,2,0,2000
464,,,,,sco,Greg Shields,DF,23.0,,,,,,,,,,,Charlton Athletic,0,0.0,1,0,0.0,0.0,51,2,2,0.0,0.44,0.0,4,0,0,0,205,0.44,1,0,2000
465,,,,,no,Ragnvald Soma,DF,20.0,,,,,,,,,,,West Ham United,0,0.0,0,0,0.0,0.0,48,2,2,0.0,0.47,0.0,4,0,0,0,190,0.0,1,0,2000
466,,,,,eng,John Scales,DF,34.0,,,,,,,,,,,Ipswich Town,0,0.0,1,0,0.0,0.0,90,2,0,0.5,0.0,0.0,2,1,0,0,180,0.5,0,0,2000
467,,,,,eng,Dave Watson,DF,38.0,,,,,,,,,,,Everton,0,0.0,3,0,0.0,0.0,90,2,0,0.0,0.0,0.0,2,0,0,0,180,1.5,0,0,2000
468,,,,,sco,Brian O'Neil,MF,27.0,,,,,,,,,,,Derby County,0,0.0,3,0,0.0,0.0,45,3,1,0.5,0.0,0.0,4,1,0,0,179,1.51,0,0,2000
469,,,,,au,Con Blatsis,DF,23.0,,,,,,,,,,,Derby County,0,0.0,3,0,0.0,0.0,88,2,0,0.51,0.0,0.0,2,1,0,0,175,1.54,0,0,2000
